time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-04T19:03:45.060Z,43.7091,-105.2938,0,3.5,ml,,37,0.998,0.61,us,us10004usl,2016-05-16T18:01:43.040Z,"Wyoming",mining explosion,2.7,2,0.045,64,reviewed,us,us
2016-03-03T21:53:48.700Z,43.6185,-105.2823,0,3.7,ml,,33,1.032,0.67,us,us10004uin,2016-05-06T23:34:26.040Z,"Wyoming",mining explosion,2.2,2,0.044,68,reviewed,us,us
2016-03-03T21:06:49.580Z,43.7839,-105.1874,0,3.5,ml,,34,0.897,0.86,us,us10004ui0,2016-05-06T23:34:25.040Z,"Wyoming",mining explosion,2.8,2,0.045,64,reviewed,us,us
2016-03-02T19:04:36.590Z,43.7159,-105.255,0,3.1,ml,,73,0.969,0.71,us,us10004ush,2016-05-06T23:34:23.040Z,"Wyoming",mining explosion,4,1.8,0.056,42,reviewed,us,us
2016-03-01T17:03:20.060Z,43.7044,-105.2373,0,3.1,ml,,47,0.963,0.84,us,us10004tuy,2016-05-06T23:34:22.040Z,"Wyoming",mining explosion,4.8,2,0.05,52,reviewed,us,us
2016-02-26T22:03:42.850Z,43.7256,-105.3469,0,3.4,ml,,32,1.026,0.69,us,us10004t16,2016-05-06T23:34:14.040Z,"Wyoming",mining explosion,5.1,2,0.044,68,reviewed,us,us
2016-02-25T21:22:50.870Z,43.9714,-105.1424,0,3.4,ml,,34,0.811,0.75,us,us10004tug,2016-05-03T23:44:22.040Z,"Wyoming",mining explosion,6,2,0.044,68,reviewed,us,us
2016-02-24T23:03:08.650Z,43.6679,-105.252,0,3.3,ml,,51,0.989,0.85,us,us10004sg5,2016-05-03T23:44:20.040Z,"Wyoming",mining explosion,5.8,2,0.052,60,reviewed,us,us
2016-02-24T20:45:47.640Z,43.6139,-105.1972,0,3.5,ml,,41,0.981,0.59,us,us10004sf2,2016-05-03T23:44:20.040Z,"Wyoming",mining explosion,4.2,1.7,0.045,66,reviewed,us,us
2016-02-24T00:15:58.760Z,43.7045,-105.2789,0,3.1,ml,,51,0.99,0.76,us,us10004s81,2016-05-03T23:44:19.040Z,"Wyoming",mining explosion,4.1,2,0.049,54,reviewed,us,us
2016-02-23T16:03:56.170Z,43.7184,-105.2433,0,3.1,ml,,51,0.961,0.59,us,us10004s2i,2016-05-03T23:44:18.040Z,"Wyoming",mining explosion,2.8,2,0.052,48,reviewed,us,us
2016-02-20T20:16:57.610Z,43.5934,-105.2914,0,3.3,ml,,120,1.05,0.71,us,us10004rfc,2016-05-03T23:44:14.040Z,"Wyoming",mining explosion,6.2,2,0.066,38,reviewed,us,us
2016-02-19T23:50:43.180Z,45.9256,-106.548,0,3.1,ml,,103,0.795,1,us,us10004s2h,2016-05-03T23:44:12.040Z,"eastern Montana",mining explosion,4.3,2,0.053,46,reviewed,us,us
2016-02-17T21:01:20.610Z,43.797,-105.2206,0,3,ml,,70,0.914,0.57,us,us10004ql7,2016-04-26T23:28:26.040Z,"Wyoming",mining explosion,5.3,2,0.056,54,reviewed,us,us
2016-02-14T21:04:44.630Z,43.8929,-105.3682,0,3.4,ml,,116,0.988,0.4,us,us2000506s,2016-04-26T23:28:21.040Z,"Wyoming",mining explosion,3.4,1.9,0.064,32,reviewed,us,us
2016-02-14T18:38:43.010Z,43.6479,-105.2762,0,3.6,ml,,75,1.014,1.06,us,us20005061,2016-04-26T23:28:21.040Z,"Wyoming",mining explosion,3.2,2,0.048,56,reviewed,us,us
